,Tweets,id,len,date,source,likes,retweets
0,"RT @FLGovScott: If you’re in an evacuation zone, I am urging you to leave RIGHT NOW. Do not risk your life or the lives of your loved ones-…",1049849039418679296,140,2018-10-10 02:28:10,Twitter for iPhone,0,3675
1,"THANK YOU IOWA &amp; NEBRASKA! VOTE, VOTE, VOTE! https://t.co/0pWiwCHGbh https://t.co/tzkiQ4IlEd",1049832845592723457,96,2018-10-10 01:23:49,Twitter for iPhone,23496,5878
2,https://t.co/CPf3oxgdRX,1049831428115062790,23,2018-10-10 01:18:12,Twitter for iPhone,15373,4150
3,Beautiful evening in Iowa. GOD BLESS THE U.S.A.! #MAGA🇺🇸 https://t.co/Zi0rwyajrz,1049829285677203456,80,2018-10-10 01:09:41,Twitter for iPhone,37164,9356
4,RT @fema: Flooding from Hurricane #Michael will affect several states. Finish preparations ASAP and get ready to shelter in a safe location…,1049786137500217345,140,2018-10-09 22:18:13,Twitter for iPhone,0,3162
5,RT @FLOTUS: Thank you Egypt 🇪🇬 🇺🇸 https://t.co/7i0POn29XN,1049781519424712704,57,2018-10-09 21:59:52,Twitter for iPhone,0,11440
6,RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/5FXP7Ki3Zw,1049781513347194880,57,2018-10-09 21:59:51,Twitter for iPhone,0,13238
7,.@FLGovScott has been relentless in securing the funding to fix the algae problem from Lake Okeechobee - we will so… https://t.co/6XMMjQ0V4v,1049776359239643136,140,2018-10-09 21:39:22,Twitter for iPhone,38796,10533
8,"RT @Scavino45: Congratulations to our 114th Supreme Court Justice, Brett M. Kavanaugh! #SCOTUS🏛🇺🇸

🔟📸https://t.co/c3YdNNcU7c https://t.co/A…",1049775219693375489,140,2018-10-09 21:34:50,Twitter for iPhone,0,4482
9,“President Donald J. Trump Approves Florida Emergency Declaration” https://t.co/TnTDCvs41W,1049738503389675521,90,2018-10-09 19:08:57,Twitter for iPhone,26575,6270
10,REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/3vYfDmpqiH,1049700215949860864,65,2018-10-09 16:36:48,Twitter for iPhone,39877,15730
11,"FLORIDA - It is imperative that you heed the directions of your State and Local Officials. Please be prepared, be c… https://t.co/wPghUO1OF2",1049692727582048258,140,2018-10-09 16:07:03,Twitter for iPhone,37193,10026
12,"...Looks to be a Cat. 3 which is even more intense than Florence. Good news is, the folks in the Pan Handle can tak… https://t.co/60JuUt9tp9",1049690974841135104,140,2018-10-09 16:00:05,Twitter for iPhone,22350,5144
13,"Hurricane on its way to the Florida Pan Handle with major elements arriving tomorrow. Could also hit, in later stag… https://t.co/xycrRUIBTh",1049690971934511104,140,2018-10-09 16:00:04,Twitter for iPhone,30619,7585
14,Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 10:30am.,1049665483182694402,85,2018-10-09 14:18:47,Twitter for iPhone,57438,12493
15,RT @realDonaldTrump: https://t.co/4ySIkmfllE,1049651531346321408,44,2018-10-09 13:23:21,Twitter for iPhone,0,17388
16,"Will be going to Iowa tonight for Rally, and more! The Farmers (and all) are very happy with USMCA!",1049648174896504832,99,2018-10-09 13:10:01,Twitter for iPhone,49858,10942
17,Great evening last night at the White House honoring Justice Kavanaugh and family. Our country is very proud of them!,1049640099007356928,117,2018-10-09 12:37:55,Twitter for iPhone,79849,14572
18,"The paid D.C. protesters are now ready to REALLY protest because they haven’t gotten their checks - in other words,… https://t.co/3es06u6W6e",1049638803177127936,140,2018-10-09 12:32:46,Twitter for iPhone,79839,22110
19,"RT @NWSTallahassee: 8am Intermediate Advisory from @NHC_Atlantic upgrades #HurricaneMichael into a category 2 hurricane. Keep in mind, wind…",1049635559000469504,140,2018-10-09 12:19:53,Twitter for iPhone,0,3832
